|horoscope|pub_date|zodiac
17|At some stage today your frustration is likely to bubble over and you will say or do something that you later regret. But, even so, it’s good to remind those around you that your patience is finite. It keeps them on their toes.|12-18-2013|libra
18|What happens over the next few days will help you to understand that your priorities are wrong, that you are worrying about the things you cannot change while neglecting the things you can. It’s time to get your head back together. |12-19-2013|libra
19|You may be tempted to do something drastic today but the planets warn the results are as likely to be negative as positive. Why not just wait a while and let the current situation work itself out? There’s no need to rush.|12-20-2013|libra
20|It’s okay to be cautious when dealing with people you don’t know very well but don’t let it get to a level where you distrust every word they say for no good reason. Most people, even strangers, are still honest in their dealings.|12-21-2013|libra
21|You always have plenty to say for yourself but for a while at least it might be wise to button your lip and listen to what others have to say. You could learn something to your advantage this week, if you are willing to use your ears.|12-22-2013|libra
22|You are beginning to realize that you have placed your trust in someone who is playing a different game completely, one which they alone are guaranteed to win. Now you have rumbled them you can and you must turn the tables.|12-23-2013|libra
23|Partners and colleagues will demand more of your time and attention today and if you are smart you will give it to them. If you do small favors for others now chances are they will do big favors for you later on. That’s how it works.|12-24-2013|libra
24|What you need to remember now is that brains will beat brawn every time. No matter how powerful or how well connected an opponent may be you can get the better of them, simply by using your superior intellect.|12-25-2013|libra
25|If you have been taking a loved one for granted of late this could be a tricky day. Somehow you need to convince them that your feelings are still the same but it will take more than just words. You may have to get romantic!|12-26-2013|libra
26|There is someone in your world you need to pay more attention to. This person has always been important to you but maybe they have not always received the love and respect they deserve. Make them feel like a million dollars today.|12-27-2013|libra
27|The planets indicate that some kind of breakthrough is imminent, so keep believing that you will succeed and keep believing that the rewards will be huge. Both in your personal life and at work the sky is the limit – so soar.|12-28-2013|libra
28|You may be a bit sensitive at the moment but that’s okay because, if anything, you have not been sensitive enough in recent weeks and need to redress the balance. Some people seem to think you lack empathy. Make it your aim to prove them wrong.|12-29-2013|libra
29|Others may frown at your behavior today but only because they are jealous that you are enjoying yourself so much. Should you feel sorry for them? No you should not. But you can be a good example and show them how easy it is to have fun.|12-30-2013|libra
30|The only danger now is that you may overestimate your own strength while underestimating what rivals are capable of — and that’s a recipe for disaster. Remember, too, that some people are naturally stubborn — they won’t be moved. |12-31-2013|libra
31|Resist the urge to show any kind of favoritism today, especially on the home front where you could upset a loved one if they think you are doing more for others than you are for them. It may not be true but that’s the way they will see it.|01-01-2014|libra
32|Even if you are one of those rare Librans who prefer to keep their thoughts private, you will have plenty to say for yourself today. The only danger is you may say too much and reveal valuable information. Keep good ideas to yourself.|01-03-2014|libra
33|If you believe that something bad is going to happen, then most likely it will. When negative thoughts get a hold on your mind you create subconscious ripples that attract downbeat people and harmful events. Get a grip on yourself.|01-04-2014|libra
34|Try to be more understanding of someone who has let you down or in some other way incurred your displeasure. No doubt they deserve to be treated roughly but, on this occasion, they will respond better to encouragement than to criticism.|01-05-2014|libra
35|You may think that you can do as you please and get away with it but the planets warn if you go too far today you could create a backlash that is difficult to contain. Maybe you should play it safe, just this once.|01-06-2014|libra
36|It will pay you to be secretive, especially if you are working on a plan that requires the element of surprise to succeed. If people start sniffing around, asking what you are up to, tell them anything but the truth. Yes, you may have to lie. |01-07-2014|libra
37|This is an important time for you and you will be making at least one and maybe several major changes to your lifestyle. The full moon on the 16th will clear away obstacles. Between now and then make your plans and make them big.|01-08-2014|libra
38|All things are possible – you feel in your bones that you can take on the world and win – and you’re right, you can. But why make a battle of it when you have the charm to get what you want without a struggle? Or is that what you enjoy?|01-09-2014|libra
39|It is important that you make an effort to put squabbles behind you. That might seem like a tall order considering how fragile certain relationships have been of late but it will be easier than you imagine, so imagine it and do it.|01-10-2014|libra
40|Stay true to your principles and don’t stoop to underhand methods or tactics, no matter how great the prize. If you lower your standards even a little you will lessen the morality gap that exists between you and most other people.|01-11-2014|libra
41|The best way to deal with criticism is to ignore it. Focus your mind on your work over the next seven days and give the critics a miss. Most likely they are talking rubbish as usual – some people, it seems, just can’t help themselves.|01-12-2014|libra
42|You may feel sorry for someone whose luck appears to have deserted them but you are still advised to keep your distance and not get personally involved. Most likely the universe is trying to teach them something. Don’t get in the way.|01-13-2014|libra
43|You will hear something today that does not exactly fill you with joyous feelings but it’s not as bad as you think it is. It may even, in a strange sort of way, be the forerunner of good news over the longer term, so don’t despair just yet.|01-14-2014|libra
44|Are you in charge of your emotions, or are your emotions in charge of you? That is the question you need to ask of yourself and, if you are honest, it will most likely be the latter. Whatever else happens, don’t let your fears damage your career.|01-15-2014|libra
45|Someone who envies your calm demeanor will turn up the heat today in the hope that you will start to sweat, but what they don’t know is that you thrive on this sort of pressure. Not even today’s full moon can crack your composure.|01-16-2014|libra
46|There are plenty of challenges in your life at the moment but you don’t have to make an issue of every one of them. You will progress quicker if you pick your battles carefully and ignore whatever does not take you closer to your goals.|01-17-2014|libra
47|You have been rather emotional of late, no doubt due to the Sun’s transit of one of the more sensitive areas of your chart. As from Monday though your world will be a much brighter and much happier place – so dry your eyes!|01-18-2014|libra
48|Not only is Mars positioned nicely in your birth sign but the Sun moves into the most dynamic area of your chart as well this week. It matters not if the world is against you: there is just no way you are going to lose.|01-19-2014|libra
49|If there is something of an artistic nature you have been thinking of trying now is the time to stop thinking and start doing. With the Sun moving into the most dynamic area of your chart you can and you will make a name for yourself.|01-20-2014|libra
50|This is no time for doubts or second thoughts. Throw caution to the wind and let your instincts guide you. This is a great time for creative activities and affairs of the heart, so be creative about your love life and love everything you create.|01-21-2014|libra
51|First appearances can be deceptive, so don’t be put off if someone you meet today seems a bit too serious for your tastes. The planets suggest the two of you will be working with each other a lot, so do what you can to put them at ease.|01-22-2014|libra
52|The Sun in Aquarius does wonders for your confidence, so it’s unlikely you will stop to think before you speak or tone down your remarks to save other people’s blushes. And why should you? It’s not your fault the truth is painful.|01-23-2014|libra
53|No matter how many brilliant ideas you have buzzing round your brain they don’t mean a thing unless you do something with them. For too long you have been coming up with grand plans but not going any further. Now it’s time to act.|01-24-2014|libra
54|You may not be under quite so much pressure on the work front now but don’t use that as an excuse to lower your standards or not try so hard. Important people are still watching you, so make sure they like what they see.|01-25-2014|libra
55|The combination of a new moon in the most dynamic area of your solar chart and an inspiring Sun-Uranus link means that obstacles are few and opportunities are limitless. You are at a peak right now, so go find a mountain to climb.|01-26-2014|libra
56|You have been avoiding taking some kind of decision but the time is rapidly approaching when you must act swiftly. You know what has to be done and you know the importance of getting it right, so quit stalling and get busy.|01-27-2014|libra
57|Someone in a position of authority will look on you kindly today. What have you done to deserve their support? Who knows, but you would be a fool not to make the most of it. There’s nothing wrong with being flavor of the month.|01-28-2014|libra
58|Relationships of the romantic kind are well starred today. Let the object of your affection know that they are, always have been and always will be number one in your heart. If you do that, the next few days will be extra special.|01-29-2014|libra
59|You can sense that something marvelous is going to happen over the next 24 hours but you don’t know what it is. That’s part of the fun. Whatever it happens to be, make the most of it. Marvelous things rarely stay marvelous for long.|01-30-2014|libra
60|It will pay you to come on a little less strong today, especially at work but also at home. You don’t need to prove yourself. You don’t need to impress the powers that be. In fact you will impress people more if you switch off and have fun.|01-31-2014|libra
61|Everyone seems to be on a totally different wavelength to you at the moment, so you can’t expect much support, not even from friends and family members. You don’t care in the least. You don’t need their support. You can cope on your own.|02-01-2014|libra
62|You may have to cuts corners and bend rules to get things done over the next 24 hours but it will be worth it. If will certainly save you time, much of which will be taken up trying to explain to others what you are doing and why.|02-03-2014|libra
63|Anyone who thinks you are not ambitious will get a shock today as you push yourself harder than ever. But while it is okay to be hard on yourself it is not okay to be hard on friends, loved ones and relatives. Stay balanced. Stay calm.|02-04-2014|libra
64|Something you hear on the work front could benefit you enormously, but only if you have the presence of mind to act quickly. You are not the only one who is looking for a way to get ahead, so stay alert and be decisive and dynamic. |02-05-2014|libra
65|There is sure to be some kind of disorder today, most likely on the work front where your colleagues may discover that they are not up to keeping the promises they made. You, of course, could see it coming, so you won’t be fazed in the slightest.|02-06-2014|libra
66|Put the finishing touches to something of a creative nature, something that could bring you the kind of recognition and rewards you believe you deserve. Even if it doesn’t make you rich and famous it will still be a job well done.|02-07-2014|libra
67|The problems you are having with a new working routine are minor and likely to be short-lived, so don’t let them annoy you. And don’t let other people tell you that you need to change course. They don’t know what they are talking about.|02-08-2014|libra
68|Mars in your sign makes you confident and assertive but you are still advised to start the week slowly and carefully. Feel your way and don’t take too many risks. Save yourself for next weekend when you’ll be a winner in everything you do.|02-10-2014|libra
69|There is no point arguing with people who will always see things differently to you. It takes all sorts to make a world and though that does not mean you have to like them it does sometimes mean you have to put up with them. |02-11-2014|libra
70|You have been chopping and changing far too much of late. According to the planets you must choose a route and stick with it today. If you don’t it may be several more weeks before you get the chance to regain control of your affairs.|02-12-2014|libra
71|Be careful what you say over the next few days because certain people won’t take kindly to you making light of things that they take seriously. Others, however, will think you are the funniest Libra ever. Choose your audience carefully.|02-13-2014|libra
72|It may be annoying that someone is dragging their feet and generally making life hard for you but don’t make an issue of it. The full moon means you just have to accept that not everyone thinks or moves or acts as fast as you.|02-14-2014|libra
73|You know what you want, you know where to get it and with Mars, planet of energy and ambition, on good form this weekend there is no doubt at all you will soon reach your goal. There’s just no stopping you at the moment.|02-15-2014|libra
74|Are the good times about to end? Will you have to pay for the easy ride you’ve had in recent weeks? No, of course not, but as from tomorrow you may have to make more of an effort to get what takes no effort at all today.|02-17-2014|libra
75|If you find that you are lacking in energy today resist the urge to push yourself even harder. Now that the Sun is moving through the wellbeing area of your chart you must pace yourself sensibly. Get the balance right between work and rest.|02-18-2014|libra
76|You might prefer to be honest but you will have to tell a little white lie today, the kind that keeps a friend from getting into serious trouble. A few days from now, when they realize what you did, they will thank you profusely. |02-19-2014|libra
77|Stop worrying about all the little things that may or may not be going wrong and concentrate on the one big thing you would most like to go right. If you focus your mind power in a single direction you might just create some sort of miracle.|02-20-2014|libra
78|The next 24 hours may be a bit bumpier than usual but that’s okay because you are not the sort to panic. You are, however, the sort to go out and spend money to make yourself feel better and that could be a huge mistake.|02-21-2014|libra
79|If you have been finding it hard to reach agreement over a business issue you should be able to break the deadlock this weekend. But make sure you get everything written down and signed. You can be too trusting at times.|02-22-2014|libra
80|It’s time to stop acting like an amateur and get started on something of a serious nature. Cosmic activity in the work and wellbeing area of your chart makes this the perfect time to start a new project or begin a new fitness regime. Get to it!|02-23-2014|libra
81|Travel and social plans may have to be changed today as the planets bring to light information that casts doubt on other people’s motives. If you don’t feel 100 per cent sure they are on the level then maybe you should stay at home.|02-24-2014|libra
82|Take care you don’t get too close to a situation and lose your sense of perspective. You need to make a conscious decision to stand back from what you are doing and see the bigger picture – it’s always there for you if you know how to look.|02-25-2014|libra
83|It would be nice if you could solve all the problems of the world but be realistic: you can’t even come close. What you can do though is join with those who share your views and aim to change one specific thing for the better. Get to it.|02-26-2014|libra
84|Do something unexpected. Be as outrageous as you please. The planets indicate that no matter how far you push the limits, at home or at work, others will forgive you. But that’s only today. As from tomorrow they won’t be so generous.|02-27-2014|libra
85|News you receive from afar will cheer you no end and also make you realize that what you have been worrying about in recent weeks is of no real importance. Creatively and romantically you must seize the initiative and make things happen.|02-28-2014|libra
86|Usually you look at the big picture and don’t worry too much about details, but lately you have become obsessed by minor issues. The good news is that this weekend’s new moon will sweep away your fears, and your mania for trivia.|03-01-2014|libra
87|Make doing things for other people your priority this week. What you do for loved ones and friends now will be done for you at some stage in the future. You don’t have to make major sacrifices – just do what you can to help those in need.|03-02-2014|libra
88|You won’t stop moving and you won’t stop talking and you won’t stop impressing people with your ideas. Both at home and at work others will look up to you as the one person they can trust to see things as they really are.|03-03-2014|libra
89|Anyone who disagrees with your right to dictate terms will be out in the cold before they know what is happening. Most of the time you are quite happy-go-lucky but today the happiest and luckiest people will be those who stay out of your way!|03-04-2014|libra
90|Too often in the past you have lacked the confidence to follow through on a good idea and make a name for yourself. Now though you will look and act as if you just can’t fail. And you won’t. In fact you will make it look easy.|03-05-2014|libra
91|Your way with words will win round even the most reluctant of partners and co-workers today. Create a vision of what it is you intend to achieve and let them see that they can share in the spoils – but they have got to back you NOW.|03-06-2014|libra
92|You have a tendency to fear the worst but with Jupiter moving in your favor again your mood will lighten and you will be visualizing all sorts of wonderful things. That’s good. What’s in your mind’s eye today will be your reality tomorrow.|03-07-2014|libra
93|You may not think you are qualified for a certain job or position but that doesn’t matter. The only thing that counts is that you possess the courage and the confidence to turn your hand to something new. You’ll learn as you go along.|03-08-2014|libra
94|Your sixth sense tells you that something unexpected is about to happen, but that is no reason to lock the doors and pull down the blinds. You know the old saying: If you’ve done nothing wrong you’ve got nothing to be scared of.|03-09-2014|libra
95|You will make an impression over the next seven days but will it be of the right sort? That depends on how well you get along with the people you work with and for. Be confident but try not to be arrogant or domineering.|03-10-2014|libra
96|The past few weeks have been tough and the next 24 hours is likely to bring challenges too, but nothing will happen that you don’t have the intelligence and the courage to overcome. You’re at your best with your back to the wall.|03-11-2014|libra
97|A plan or project that has been in a state of limbo since the start of the year will begin to move forward again as from today. Don’t try to do everything at once though. You’ll catch up eventually, so be smart and start slow.|03-12-2014|libra
98|Your sixth sense tells you that something drastic is going to happen, but that does not mean you should shut yourself away until it is over. In fact, what some people see as a disaster over the next 24 hours you will see as a golden opportunity.|03-13-2014|libra
99|If you feel the need to brag about your success then go right ahead. It’s not often you make a big noise about how well you have done, so every once in a while it’s okay. You certainly have lots to be proud of. Let everyone know.|03-14-2014|libra
100|You must put your own interests first this weekend, because if you allow others to persuade you that their needs are more important you will lose out in a big way. It won’t hurt to be a bit more suspicious than usual. |03-15-2014|libra
101|Don’t let your disappointment over one little thing ruin what should be a glorious week. Also, don’t think it is wrong to be happy when there are so many people who are unhappy. Do you want to change the world? Then make it laugh.|03-16-2014|libra
102|You will change your mind about something today that you seemed so sure about yesterday. Not everyone will be happy about it but that’s not your concern. What matters is that new experiences have widened and deepened your awareness.|03-17-2014|libra
103|Venus, your ruler, links nicely with changes planet Uranus over the next 24 hours, which means you must be more adventurous. Both creatively and romantically you should take more chances than usual and believe that you deserve to succeed.|03-18-2014|libra
104|As the Sun is about to move into the relationship area of your chart you should make more of an effort to get along with the people around you, even those you don’t much like. Use your famous Libra charm to win them round.|03-19-2014|libra
105|There is no point trying to keep your plans to yourself because friends and family and work colleagues will find out about them sooner or later. Have you got something to hide? Of course not, so let them know what you are up to.|03-20-2014|libra
106|Watch what you say and the way in which you say it. The planets warn if you shoot your mouth off today you may provoke someone who knows how to hit back. And they will hit you where it hurts most – in your wallet!|03-21-2014|libra
107|You will find it easier to socialize and have fun this weekend. Your problems, such as they are, may still be there and you will certainly have to deal with them at some stage, but for now you must put them out of your mind.|03-22-2014|libra
108|If you don’t seem to be getting any closer to your goals then you may have to do something drastic about it. Think big, speak big and act big this week. Give others the impression that you alone can make things happen.|03-23-2014|libra
109|Cosmic activity in your opposite sign of Aries is trying to warn you that, where your feelings are concerned, you could be easily misled. Others may try to manipulate you but that does not mean you have to make it easy for them.|03-24-2014|libra
110|Mars in your sign endows you with huge amounts of energy. However, as Mars is going through one of its retrograde phases you must be careful about how you use that energy. For best results, don’t make changes that cannot be changed back.|03-25-2014|libra
111|Self-confidence is the key to success, so believe in what you are doing and believe that sooner or later your efforts will be rewarded. Remember too that the world you experience “out there” is largely a reflection of what goes on inside your head.|03-26-2014|libra
112|You will hear something to your benefit today but your suspicious nature could hold you back from taking advantage of it. Unless there is clear evidence that someone is trying to trick you then you must take a chance. If you don’t, you’ll regret it.|03-27-2014|libra
113|You will know immediately if someone is lying to you today – there is just no way they can pull the wool over your eyes. Whether or not you let them know you are not fooled is up to you. It may benefit you to play dumb.|03-28-2014|libra
114|This is a great weekend for relationships. You will get along easily with partners and loved ones and friends, no matter how many bad times you may have been through of late. You have too much in common to be angry for long.|03-29-2014|libra
115|If you let the wrong person know what you are thinking this week you could find yourself in an embarrassing situation. Try to realize that not everyone shares your offbeat way of looking at the world – or your more outrageous desires! |03-30-2014|libra
116|You would be wise to let friends and work colleagues express their opinions today, even if they clash with your own. At some stage in the very near future you are going to need their assistance, so try not to turn them against you.|03-31-2014|libra
117|There may be a thousand and one things you want to do today but Jupiter, planet of success but also excess, warns you must not to take on too much. Get partners and loved ones to do more things for you – they will if you ask nicely.|04-01-2014|libra
118|You may be tempted to ignore information that does not fit in with your worldview but that would be a mistake. Swallow your pride and act on what you are told – it may be embarrassing now but will save you time and trouble later on.|04-02-2014|libra
119|Give partners and loved ones your support today, even if you have good reason to criticize. Whatever they may have done and however much it may have affected you, it was an honest mistake, so don’t make a big issue of it.|04-03-2014|libra
120|There is no need to cut back on essentials or make major sacrifices, no matter what some people might say. It may seem as if there is no way out of your financial dilemma but there is always a way, so stay calm and think logically.|04-04-2014|libra
121|For some strange reason you can’t get started on a project you have been planning for some time. Maybe the universe is trying to tell you something. Maybe it isn’t quite the right time to begin. What’s the rush? It can wait.|04-05-2014|libra
122|Make a conscious effort to be nice to people, even if they don’t deserve it. The planets warn you are going to need help before the end of the week and you are more likely to get it if others feel obligated to you in some way.|04-06-2014|libra
123|Where before there were so many misunderstandings there will now be an awareness of how much certain people mean to you and why minor differences of opinion are of no importance at all. Be friends with everyone, but most of all with yourself.|04-07-2014|libra
124|Creative endeavors are under excellent stars, so if there is some kind of artistic project you want to get started on don’t wait any longer. Remember too that there is no such thing as the perfect time – the present moment is all you ever have.|04-08-2014|libra
125|Whatever happens today, be it good, bad or indifferent, try not to take it too seriously. Others may think it’s the end of the world, or the start of a golden age, but you know it’s nowhere near as dramatic as that. It’s life, that’s all.|04-09-2014|libra
126|Make sure you know what you are talking about today, especially if you are dealing with people who are experts of some sort. If you make claims that cannot be backed up with facts they won’t hesitate to make you look silly.|04-10-2014|libra
127|If you say something you know to be untrue today the planets warn you will be found out, much to your embarrassment. There is absolutely no reason why you should lie or give false information. What could be so bad about the truth?|04-11-2014|libra
128|Everything that is meant to happen will happen when the time is right, so stop worrying that you should be doing more. According to the planets you are exactly where you should be, so forget about tomorrow and live in the moment.|04-12-2014|libra
129|Make the effort to do what other people want you to do this week, even though your heart may not be in it. A week from now it may be you who needs their help and you are more likely to get it if they feel they owe you.|04-13-2014|libra
130|Disruption of one sort or another is inevitable today. Whatever happens, keep telling yourself that it’s not as bad as it seems and promise yourself that you will keep your emotions in check. And by all means laugh at those who get hysterical.|04-14-2014|libra
131|Today’s lunar eclipse in your sign is sure to confuse things and make you more emotional than usual, so promise yourself now that no matter what happens you won’t get upset about it. In a matter of days it will all be forgotten.|04-15-2014|libra
132|Partners and colleagues have the upper hand at the moment and you need to accept that fact. There are powers in the world that cannot be beaten by either charm or force of personality, of which you have plenty. Stay calm and let things just happen.|04-16-2014|libra
133|It may be time to let certain people know that they can have no say in your future. Far too many friends and relatives seem to be telling you what you should do but each and every one of them is wrong. Follow your heart – it knows the way.|04-17-2014|libra
134|You may have certain duties to fulfill but you don’t have to be a slave to other people’s demands. Make sure everyone – friends, family and work colleagues alike – know that what you do for them you do out of the goodness of your heart.|04-18-2014|libra
135|Business issues and money matters will take on added importance this weekend. Make sure anything to do with property and investments is handled with care over the next few days, and over the next few weeks. There’s a lot at stake.|04-19-2014|libra
136|Try not to lose your sense of perspective this week or common sense could go right out of the window, with disastrous results. It may seem as if everyone but you is riding the gravy train and cashing in but it’s not all about money you know.|04-20-2014|libra
137|You won’t care in the slightest whose toes you may be treading on today, you will wade in where angels fear to tread and put the world to rights. Or maybe you’ll make it even worse than before – but you WILL make an impression!|04-21-2014|libra
138|It’s one thing to make bold decisions but it’s another to make sure they are the right decisions. There is a great deal at stake at the moment and if you call it wrong the repercussions could be massive, so think deeply and act cautiously.|04-22-2014|libra
139|Whatever it is that you fear you need to put a name to it because only then will you be able to face it and conquer it. Most likely you have been worrying for no good reason but even if your anxieties are valid they don’t have to be such a big deal.|04-23-2014|libra
140|Make sure what you wish for is what you truly desire because once it is in your possession you may not be able to give it back again. Also, be careful when making promises to friends. They will hold you to them come what may.|04-24-2014|libra
141|No matter how determined you may be to make a good impression on people in positions of power you must not run yourself into the ground. Make sure the delicate equilibrium between your mind, body and emotions is not disturbed.|04-25-2014|libra
142|Have a clear out this weekend. Get rid of not just all the material junk you have accumulated but all the emotional junk too. But make sure you only get rid of those things that are negative – some things are still worth keeping.|04-26-2014|libra
143|Money matters of all kinds are under favorable influences at the moment and if you think sensibly and act wisely your financial position is sure to improve. Think about the future too: how can you invest now to get more later on?|04-27-2014|libra
144|According to the planets you are carrying too much emotional baggage and need to give your feelings a thorough spring clean. Once you have confronted your fears you may well realize there was precious little to worry about in the first place.|04-28-2014|libra
145|There is no point arguing with people who simply refuse to see sense. It may be tempting to show them up with your superior knowledge but why bother? Eventually they will see just how foolish they have been but don’t waste your time on them.|04-29-2014|libra
146|You must not take any unnecessary risks today, especially with money. Keep your cash in your pocket and don’t let anyone, no matter how smooth-talking, persuade you there is easy money to be made, because it’s your money they are after.|04-30-2014|libra
147|Mars in your sign endows you with courage and confidence but other aspects warn you can’t do it all on your own. You need to rediscover the joys of being a team player, of how good it feels to share success with other people.|05-01-2014|libra
148|You may have to wait a few weeks before you get the chance to put your big idea into effect but don’t be impatient. The more time you give it to percolate through your brain the more likely it is to be an outstanding success.|05-02-2014|libra
149|You will need plenty of self-belief over the next few days. Not only are major changes coming your way but you will come under intense pressure to conform in your reaction to them. Don’t do it. Be free and follow your conscience.|05-03-2014|libra
150||05-04-2014|libra
151|What you have to do over the next few days may not be what you would choose to do but if you approach it in the right frame of mind it can still be fun. More significantly, it will get important people back on your side.|05-05-2014|libra
152|Don’t try to force others to do your bidding today because they will make such an emotional scene that even you will be embarrassed. If there is something that needs doing either do it yourself or hire someone to do it for you.|05-06-2014|libra
153|You may have been a bit too fixed in your opinions of late but with mind planet Mercury moving in your favor again you will get the chance to review your beliefs and adjust them to fit reality – rather than the other way round!|05-07-2014|libra
154|Whatever else you do over the next 24 hours don’t cut corners or break rules, because you won’t get away with it. Resist the temptation to do anything dishonest, not just because it is dishonest but also because you really don’t need to.|05-08-2014|libra
155|You should expect a certain amount of deception over the next 24 hours, even from people you think you can trust. Don’t take anything that happens too seriously and don’t hold grudges against people who let you down. It happens.|05-09-2014|libra
156|You need to get serious about a money matter or business issue you have been neglecting of late. You may also have to get tough with people who have not being playing straight with you – even to the point of ending a relationship.|05-10-2014|libra
157|You will be in a generous mood over the next few days, especially with those who have been generous to you in the past. But don’t limit your kindness to people you know personally do something of a charitable nature for strangers too.|05-11-2014|libra
158|Some things may seem funny to you but not everyone will laugh at your jokes today. Most likely it’s because they resent you being the center of attention all the time. That’s too bad – the limelight is there to be hogged.|05-12-2014|libra
159|Fears you thought had been put behind you will return in strange and unexpected ways. However, if you face up to those fears and deal with them bravely the planets indicate this will be the very last time they bother you.|05-13-2014|libra
160|If you let your emotions influence what should be a purely logical decision today you could end up out of pocket. Where money and other material matters are concerned you must not take risks, not even if the potential rewards are great.|05-14-2014|libra
161|Let the people you feel closest to know how much you need them and appreciate them and love them. It’s not true that Librans lack emotion and anyone who thinks that will have no choice but to think again over the next 24 hours.|05-15-2014|libra
162|At some point today you will realize that so many of the things you have been worrying about are simply not worth the time or the effort. Once you understand that you will find it easier to focus on what is genuinely important.|05-16-2014|libra
163|Nothing will worry you and nothing will put you off what you are planning to do. You instinctively know this is the time to take action, while the Sun is still moving in your favor. You’ve got to be quick though – do something today.|05-17-2014|libra
164|No doubt you can’t wait to get to work on your plans but don’t be so eager that you make a false start. You have plenty of time to make your mark, so see to it that the foundations are strong. Take it a step at a time.|05-18-2014|libra
165|You like to talk and it is something you are good at but the planets warn it might be better if you said nothing at all today. If are the kind of Libra who likes to chat for the sake of it you could give away too much information.|05-19-2014|libra
166|You should know by now that change is the only constant in life and the really good news is that the changes coming your way over the next few days will delight you. One of the best times of the year is about to begin.|05-20-2014|libra
167|There will be an obvious change in your mood over the next two or three days. Where before you were highly strung and often uptight now you will be relaxed and easygoing. Don’t take life too seriously. Having fun is what matters.|05-21-2014|libra
168|You will be on inspired form over the next few days. Every idea you have – and you will have plenty – will be touched by genius in some way. Remember though that ideas mean nothing unless you do something with them.|05-22-2014|libra
169|One of the best times of the year for you is now under way, so get rid of any negative attitudes you may have and start looking forward to all the good things that will be coming your way. Be positive in thought, word and deed.|05-23-2014|libra
170|Go out and have a good time this weekend. You have had so many serious things to deal with of late that you seem to have forgotten what it means to have fun but it won’t take much to remind yourself – it’s what you do best after all.|05-24-2014|libra
171|The Sun in Gemini will encourage you to take the kind of risks you usually tend to avoid and Wednesday’s new moon will bring the perfect opportunity to expand your horizons and be more adventurous. What have you got to lose?|05-25-2014|libra
172|A lot of things that have been hidden from you in recent weeks and months will be revealed over the next few days. Try not to dwell on the many little things that make up your life – it’s the big picture that matters now.|05-26-2014|libra
173|It will feel as if a great weight has been lifted from your shoulders today. Money worries, especially, will begin to fade and you can start having fun again without constantly having to check how much cash you’ve got in your purse.|05-27-2014|libra
174|You have a lot to say for yourself and most of it is worth listening to, but be careful you don’t say anything that might upset people whose support you are going to need. It’s good to have opinions but not so good if they cause you trouble.|05-28-2014|libra
175|If there has been some sort of dispute or disagreement now is the time to patch things up. That applies to all areas of your life but especially to business issues. There is always a solution – it’s simply a question of how hard to choose to look.|05-29-2014|libra
