|horoscope|pub_date|zodiac
30|Stick to your principles over the next 24 hours, even if you lose out financially. Others can be underhanded and devious if they so wish, but you are made of better stuff. It’s not about money, it’s about doing the right thing. |12-31-2013|pisces
31|You will be surprised how quickly and easily you get things done, so stop telling yourself that you are too far behind to catch up, because you’re not. Get the boring stuff out of the way early, then have fun for the rest of the day.|01-01-2014|pisces
32|Everyone you know may believe one thing but if your instincts tell you a different story it is your instincts youmust trust. There is such a thing as herd mentality and there’s a lot of it about at the moment. Always think for yourself.|01-02-2014|pisces
33|Whatever your special talent happens to be, you must put it to good use. If an opportunity arises in your work or career grab it with both hands and don’t worry that you may not be up to the task. You’ll ace it and make a name for yourself. |01-03-2014|pisces
34|You are under no obligation to get involved in other people’s problems — in fact you are strongly advised to steer clear of them all this weekend. Yes, of course, you want to help, but some things are best left to run their natural course.|01-04-2014|pisces
35|Make it your aim this week to form alliances with people who share your concerns. You don’t have to agree on every single detail about every single issue, just the overall picture. Together you can create something important.|01-05-2014|pisces
36|An important arrangement may have to be changed at the last moment today but don’t get angry or uptight because most likely it will work in your favor. Strange as it may seem your friends really do know what is best for you.|01-06-2014|pisces
37|There is a great deal going on behind the scenes at the moment, so don’t make too many plans because they are sure to change. If someone asks you to take on more work, turn them down flat — it’s the last thing you need right now. |01-07-2014|pisces
38|You must let a certain person know that you have no intention of allowing them to get rich at your expense. Today’s Mars-Jupiter link will bring tensions to a head, making it the perfect time to say what’s on your mind – loudly!|01-08-2014|pisces
39|If someone wants to rant and rave and make a nuisance of themselves let them get on with it. Most likely they are hoping you will overreact. Don’t give them the satisfaction. Treat them with the contempt they deserve – ignore them completely.|01-09-2014|pisces
40|It may seem to other people that you are lucky, that what you have got you have not really earned, but it isn’t true. The cosmos always rewards those who deserve it and no one deserves it more than you. Why? Because you’re so nice.|01-10-2014|pisces
41||01-11-2014|pisces
42|Be careful what information you choose to trust this week, even if it comes from a reliable source. That applies to all areas of your life but especially to romantic matters. It could be that someone is deliberately stirring up trouble.|01-12-2014|pisces
43|You will leave what you have to do to the very last minute today – and because you have to act fast and without thinking will most likely make a good job of it. There’s a lot to be said for living on the edge – but not all the time.|01-13-2014|pisces
44|Try not to come on too strong today or you may scare away the people you most need to connect with. Remember too that not everyone wants to change the world – in fact some people like it just the way it is. Respect that fact.|01-14-2014|pisces
45|It will pay you to steer clear of touchy subjects over the next 48 hours. Yes, of course, there are things going on in the world that you disapprove of but will getting involved on an emotional level change anything? Of course not.|01-15-2014|pisces
46|You may find it hard to stay focused today and if that is the case you are advised to stop trying and let the cosmic winds blow you where they will. Ultimately all roads lead to where you are destined to be, so why struggle?|01-16-2014|pisces
47|Sometimes things go wrong for a reason and sometimes things go wrong for no reason at all. What goes wrong today will most likely fall in the latter category but it’s really no big deal. Come Monday you will have forgotten all about it.|01-17-2014|pisces
48|It may feel as if a stage or cycle in your life is coming to an end, and maybe it is, but there is no reason why you should feel sad about it. By all means spend some time thinking about what it all means, but have fun too.|01-18-2014|pisces
49|You will be happier working behind the scenes over the next few days. In fact, as the Sun moves into the most sensitive area of your chart on Monday you will avoid the limelight at all costs. Being noticed does not appeal to you at all.|01-19-2014|pisces
50|What happens over the next few days, and especially towards the end of the week, will toughen you up and make you less likely to crack under pressure in the future. On this occasion, short-term difficulties will lead to long-term gains.|01-20-2014|pisces
51|This may be a difficult time for you and you are certainly more sensitive than usual, but it is also a time when you can learn a great deal about yourself, which in turn makes success in the long-term more likely. Self-knowledge is the key.|01-21-2014|pisces
52|Don’t worry if the party spirit seems to have passed you by because it is the inner spirit, the real you, that matters. The planets indicate that the deeper you think about your life and its meaning today the more you will enjoy it tomorrow.|01-22-2014|pisces
53|Be careful who you confide in today because if you reveal your secrets to the wrong person they won’t remain secret for long! Even with friends you can trust it might be wise not to let them in on potentially embarrassing information.|01-23-2014|pisces
54|You need to rediscover your passion for a project that started off well but then tailed away as other things demanded your time and attention. It doesn’t have to be a fantasy that remains forever unfulfilled. There is still time to make a success of it.|01-24-2014|pisces
55|Take care that your emotions don’t sweep you away over the next 48 hours. That applies not only to affairs of the heart but also to situations where you feel sorry for someone who is not as fortunate as you. It’s not your fault.|01-25-2014|pisces
56|A lot may be going on in the world at the moment but the only thing that should matter to you is what is going on inside your head. Think deeply about your life and the direction it seems to be taking. Then make a decision. Then act.|01-26-2014|pisces
57|A quick decision is not always the best decision, so stop worrying that you are being left behind and need to do some catching up. According to the planets you are precisely where you are supposed to be and don’t need to change a thing.|01-27-2014|pisces
58|This is one of the most important times of the year for you, especially if you are fed-up with who you are and what you are doing and wish to transform your existence. So, who do you want to be and where do you want to be it?|01-28-2014|pisces
59|Listen to advice, and don’t be afraid to act on what you hear. Not everyone is trying to trick you or steal from you, so play down your suspicions and play up to the kind of important people who can help you. They’re on your side.|01-29-2014|pisces
60|Why do you have so many doubts? And why do you let those doubts hold you back? You’ve got to be more ambitious. You’ve got to be more adventurous. This could be the day when your life changes for the better – but only you can make it happen.|01-30-2014|pisces
61|Your future has rarely looked brighter. So why so glum? Whatever the reason you need to snap out of it and recognize that, compared to most people, you are on easy street. All you really have to worry about is staying there.|01-31-2014|pisces
62|Whatever has been worrying you in recent weeks will fade to nothing this weekend, leaving you feeling as if anything is possible again. But be careful. Don’t go to extremes and take on a task that is clearly too much for you.|02-01-2014|pisces
63|Make sure you are aware of what is going on around you today. Most importantly of all make sure you can see how other people’s decisions might affect your own aims and ambitions. On the work front especially, take nothing for granted.|02-03-2014|pisces
64|You are so supremely self-confident at the moment that you can’t see the huge obstacle that is just a little way ahead of you on the path you have taken. You will see it in a day or two but, in the meantime, ignorance is bliss!|02-04-2014|pisces
65|Whatever you start today will most likely be a success, maybe even a huge success, but as from tomorrow you won’t be quite so lucky, so if there is something that simply has to be done, you are advised to get on with it — now. |02-05-2014|pisces
66|You are hardly the most decisive person at the best of times and with Mercury, planet of communication and the mind, turning retrograde in your sign today you will change your mind yet again. Others won’t like it but you are who you are.|02-06-2014|pisces
67|What society tells you is important and what your inner voice tells you is important are likely to be two entirely different things. It does not matter how well qualified some people may be, you should never go against your instincts.|02-07-2014|pisces
68|You will be in a remarkably forgiving mood over the next few days, and that’s good because there’s a lot to forgive. The thing to remember is that you are not just forgiving for other people’s benefit but also for your own.|02-08-2014|pisces
69|You may be tempted to bend rules and cut corners but if you do you will be found out around the time of the full moon on the 14th. You don’t need to give yourself an unfair advantage – your luck will change for the better very soon.|02-10-2014|pisces
70|You may be tempted to act first and justify your actions later, but if you do, you will have a lot of explaining to do. Today’s Sun-Saturn link warns that the consequences of misguided action could be severe, so tread carefully. |02-11-2014|pisces
71|Stop selling yourself short and start making the kind of moves that will get you noticed. Even if you are the kind of Pisces who prefers to stay in the background you will have to give part of yourself over to the public domain.|02-12-2014|pisces
72|You may not be as ambitious as some people but you have no end of dreams you would like to see come true. One dream more than most has your attention now, but is it a realistic dream or is it a fantasy dream? You need to decide.|02-13-2014|pisces
73|What you have been doing is good but the way you have been doing it is bad and today’s full moon will in some way or other highlight that fact. It’s not too late to learn that the ends do not, as some fools claim, justify the means.|02-14-2014|pisces
74|Stop blaming yourself for events over which you have no control. Because you are such an emotional person you tend to dwell on situations where people get hurt, even if it isn’t your fault. Instead or worrying, try helping in practical ways.|02-15-2014|pisces
75|Your self-confidence may have taken a dive in recent weeks but when the Sun moves into your sign tomorrow you will get the lift you need and soon you will be soaring again. Think, feel and act positive in everything you do.|02-17-2014|pisces
76|The Sun moves into your sign today and even if your birthday is not for some weeks yet you should go out and celebrate. The next few weeks will be extra special, so start making plans and believe, really believe, that your dreams will come true.|02-18-2014|pisces
77|The Sun is moving through your sign and you’re feeling on top of the world, but today’s Mercury-Saturn link could dampen your mood a bit with some negative news. In the greater scheme of things, it’s of no real importance, so keep smiling. |02-19-2014|pisces
78|It may be true that the higher you climb the further you have to fall but don’t let that stop you aiming for the top of the mountain, or even the stars. Life is supposed to be an adventure, so put fear and doubt behind you and be who you were meant to be.|02-20-2014|pisces
79|Most things are going your way at the moment but Saturn, planet of restriction, is still holding you back from following your dream. Take it as a sign that you are not yet ready to make that dream a reality. It will happen when the time is right.|02-21-2014|pisces
80|The Sun joins forces with Neptune, your ruler, in your sign this weekend, which means that all your best Pisces qualities will come to the fore. You may not always be a saint but you have the potential to be one. Do good deeds for everyone.|02-22-2014|pisces
81|Don’t listen to the doubters and the cynics – if there is something you want to do then just do it, no matter how foolhardy it seems to the world at large. This is a time for taking risks and pushing limits. You may find there are no limits.|02-23-2014|pisces
82|This is very much your time of year – and a time to take risks. What happens around the time of the new moon on the 1st is sure to delight you but it will be so much better if you start making creative and romantic things happen now.|02-24-2014|pisces
83|Success is yours if you want it enough but that begs the question: DO you want it enough? Pisces is often a laidback sort of sign, so maybe you are happy taking each day as it comes. If so, that’s okay – you are who you are.|02-25-2014|pisces
84|You like to make bold decisions but with Jupiter and Uranus at odds today almost any decision you make is likely to have unforeseen consequences. With that fact in mind maybe you should just leave things alone for the next 24 hours.|02-26-2014|pisces
85|Be assertive and let partners and colleagues and even employers know that you intend to put your own needs first. This is your time of year and you have every right and every reason to be a little bit selfish. It’s in a good cause!|02-27-2014|pisces
86|Now that Mercury, planet of the mind, is ending its retrograde phase your self-belief will soar. And with both a new moon and a wonderful Sun-Jupiter link over the next 48 hours this really could be one of the weekends of the year. Enjoy!|02-28-2014|pisces
87|A new moon in your birth sign promises a new beginning, and with Jupiter on your side too there is no way you can be anything less than amazing this weekend. There are no limits to what you can dream and what you can do. So do it!|03-01-2014|pisces
88|Saturn, planet of limitation, will encourage you to think about your long-term plans. Are they realistic? Are they what you truly desire? Give it some thought and recognize that you don’t have to make a final decision any time soon. Take each day as it comes.|03-02-2014|pisces
89|Pluto, planet of power, will help you not just change your life but transform it over the next 12 months. What is it you dream of doing? Who is it you dream of being? There is no excuse for leaving things as they are. Change yourself and change the world.|03-03-2014|pisces
90|Your powers of persuasion will move to a higher level this year, enabling you to convince others that you know what you are talking about. Sooner or later, of course, your words will be put to the test, so don’t go making claims that may not be true.|03-04-2014|pisces
91|If someone is in trouble today you will ride to their rescue with no questions asked. However, while it’s good of you to be generous with your time you must be careful about how you use your money. And remember, it is YOUR money.|03-05-2014|pisces
92|You will get a fresh burst of energy today, enabling you to finish something you started a long time ago. Some people believe that Pisceans are lazy, that they don’t like to push themselves too hard. Time to prove them wrong.|03-06-2014|pisces
93|Someone you are fond of has made a silly mistake and is feeling bad about it. They know what they did wrong, so don’t labor the point. Instead, give them an uplifting pep-talk and tell them to get on with it. It’s what they do next that counts.|03-07-2014|pisces
94|Anyone who thinks you are too easygoing to get things done will be amazed by how dynamic you are over the next 48 hours. You won’t have time for or patience with those who drag their feet. The world turned upside-down!|03-08-2014|pisces
95|Some of the risks you took recently were aimless and without meaning. Now you need to balance things out by being more responsible. Does that sound boring? Don’t worry, it won’t be – in fact you’ll have more fun than you know what to do with!|03-09-2014|pisces
96|For best results over the coming 12 months plan well ahead and leave as few things as possible to chance. That might not sound like a recipe for fun but in a strange way you will enjoy being in control of your impulses. Maybe it’s because it’s all so unusual!|03-10-2014|pisces
97|Be careful what you agree to over the next 24 hours because the planets warn you don’t have all the facts. Don’t accept what other people tell you simply because they look good and sound honest – it’s most likely part of the act.|03-11-2014|pisces
98|Do something big and exciting with your life over the next 12 months. Time waits for no man and if you carry on drifting as you have been of late you may one day look back and regret not being more adventurous. What have you got to lose? Only your fear.|03-12-2014|pisces
99|The Sun in your sign is protecting you from harm and with Saturn on your side as well today it’s as if you have some kind of force field around keeping negative ideas, and negative people, at bay. Think only good things about the world.|03-13-2014|pisces
100|There are so many positive influences on your birthday this year that you can’t help but do something out of the ordinary over the next 12 months. It may or may not mean you make a million dollars but you will certainly make waves, and lots of new friends.|03-14-2014|pisces
101|Because tomorrow’s full moon occurs in your opposite sign partners and loved ones and work colleagues may be a bit touchy over the next few days. Make sure you don’t react in kind. The moment you do it means they have won.|03-15-2014|pisces
102|A full moon on your birthday means you will have to make the effort, each and every day, to keep your feelings on an even keel. For best results, take up meditation or some other activity that helps you keep your body, mind and emotions in harmony.|03-16-2014|pisces
103|Now is the time to be open about your opinions. Now is the time to be ruthlessly honest. If you have things to say you must let everyone know what is on your mind. If you don’t speak up now you’ll be sorry about it later on.|03-17-2014|pisces
104|Listen to your intuition and act on what it tells you. The more certain ideas insinuate their way into your mind the more likely it is they are pointing you in the direction that is uniquely right for you. You already know the answers, so listen to yourself.|03-18-2014|pisces
105|The planets indicate that good news concerning your money situation will be coming your way over the next few days. You won’t, of course, get something for nothing but you will at least have more cash in your pocket. Spend it wisely.|03-19-2014|pisces
106|This is a milestone birthday for you. You may or may not be at a significant age but the planets indicate that the next 12 months will be special, so special in fact that your life will change in ways that delight you. You’ll change too and very much for the better.|03-20-2014|pisces
107|A question that has been nagging at your brain for such a long time will finally be answered today. It may surprise you how simple the solution is but isn’t that often the way? Next time, try not to make such a big deal of it.|03-21-2014|pisces
108|What happens over the next few days will determine whether your dreams come true or whether they remain in the realms of wishful thinking. By all means plan long-term but act and react on a daily, hourly, even a minute-by-minute basis.|03-22-2014|pisces
109|Let your heart rule your head over the next few days. Mercury in your sign makes you want to rationalize your feelings but sometimes it’s better to trust what comes from within, even if you can’t explain it in any rational way. |03-23-2014|pisces
110|You will most likely make a number of small gains over the next few days – which are then cancelled out by a number of small losses. Overall you won’t be out of pocket, so take the rough with the smooth and enjoy the journey.|03-24-2014|pisces
111|It will pay you to be secretive about money matters today. According to the planets your rivals are on the lookout for opportunities to grow rich and if they can do so at your expense then so much the better. Stay sharp and don’t let it happen.|03-25-2014|pisces
112|This is the perfect day to make promises and resolutions. Mercury, planet of the mind, is totally on your side at the moment, so decide what it is you desire and commit to making it yours. The universe will hear your pledge and respond favorably.|03-26-2014|pisces
113|Something will happen today that makes you wonder if there is more going on behind the scenes than you suspected. Make it your business to find out why certain people are acting so strangely – and use what you discover for your own advantage.|03-27-2014|pisces
114|Even if you are the kind of Pisces who does not like to rock the boat you will let certain people know where they have been going wrong. But don’t just say the words – show them in practical ways how they can make things right again.|03-28-2014|pisces
115|There is no point getting worked up about your financial situation. The planets indicate that if you stay calm and think straight this weekend you can quite easily find a way out of the mess you are in. You may even end up making a profit.|03-29-2014|pisces
116|You must be even-handed when dealing with loved ones this week. If you give even the slightest impression that you favor one person over another you could cause all sorts of emotional upsets. If you’ve got a favorite, don’t let it show. |03-30-2014|pisces
117|A little cooperation will go a long way today, especially as so many people seem to be looking for excuses to start a fight. Victory does not always go to the bravest or the brightest – sometimes it goes to those who get themselves organized.|03-31-2014|pisces
118|You have some important personal issues to deal with, issues that won’t wait, so let your friends know they may be seeing less of you for a while. Get your emotional life in order first, then go out and have fun with your mates.|04-01-2014|pisces
119|If you made a promise of some kind you must keep it. If you try to wriggle out of it now you will damage your reputation, maybe not beyond repair but certainly to the extent that certain people won’t trust you so easily again.|04-02-2014|pisces
120|If you want something today there is every chance that someone will give it to you – but you have got to ask them directly. If you try dropping hints chances are they won’t understand, so spell it out for them in plain and simple language.|04-03-2014|pisces
121|You will find it easy to see the good in other people today – and they in turn will realize what a special friend they have in you. You can’t love the whole world, of course, but the world has a special place in its heart for you.|04-04-2014|pisces
122|You won’t find it hard to show your feelings this weekend. As Venus, planet of harmony, moves into your sign you will go out of your way to let others know how much you appreciate their efforts. Your love life is looking good too.|04-05-2014|pisces
123|Someone you think of as a rival will take a tumble this week and you are perfectly placed to benefit. Being the nice person you are you may feel a bit sorry for them but don’t let that stop you from cashing in. You deserve some success.|04-06-2014|pisces
124|Good news about your money situation will improve your mood no end today. That does not, however, mean you have an excuse to go on a spree. If you do come into extra cash you must use it to pay off what you still owe.|04-07-2014|pisces
125|If someone needs your help today you will give it with no questions asked. However, after you have saved them yet again you should let them know you are tired of riding to the rescue all the time. They need to take responsibility for themselves.|04-08-2014|pisces
126|If someone changes their plans at the very last moment today you may not be happy about it but you must not let it show. Breath deeply, count to twenty, then give them a big smile and say “no problem”. And never trust them again.|04-09-2014|pisces
127|Try not to get angry or frustrated if a goal you are aiming to reach seems to be further away than ever. Just as there is a reason for everything that happens in life so too is there a reason for everything that does not happen.|04-10-2014|pisces
128|You may have to take a detour of some kind today but that’s okay – you will reach your chosen destination eventually, so don’t be impatient. It’s what you see and hear and feel along the way that makes the journey worth taking.|04-11-2014|pisces
129|If you have any skeletons in your closet – and you do, you do – the surest way to draw attention to them is to try to change the subject when the conversation gets too close to the truth for comfort. Be bold and brazen it out.|04-12-2014|pisces
130|Use your intuition as well as your intellect this week, especially where money matters are concerned. No matter what the facts and figures might say if your sixth sense tells you something is not right you would be a fool not to listen.|04-13-2014|pisces
131|No matter how self-reliant a Pisces you may be you must make an effort to work hand-in-hand with other people over the next few days. Not only will you get more done but you will create a lot of useful goodwill as well.|04-14-2014|pisces
132|You may not be dishonest by nature but you will be tempted to cut corners in some way today – and that could be a big mistake. Any small gains you make by using underhand methods will be wiped out by big losses later on.|04-15-2014|pisces
133|You seem to be a bit reckless of late and if yesterday’s eclipse somehow failed to remind you that’s not a good thing to be then today’s Mars-Mercury link most certainly will. Don’t ignore warnings from your subconscious mind.|04-16-2014|pisces
134|Try not to commit yourself to anything new over the next 24 hours. A range of possibilities will open up for you between now and the start of next week, so conserve your energy and don’t get snowed under by even more responsibilities.|04-17-2014|pisces
135|Sometimes you can be too much of a perfectionist and if you demand the best of other people today you may end up being disappointed. Everyone is different and everyone has their own way of doing things – but, of course, your way is best.|04-18-2014|pisces
136|You are now perfectly placed to put the pressure on those who have been putting so much pressure on you. But that does not mean you should spend all your time getting your own back. The best revenge is being seen to have fun.|04-19-2014|pisces
137|There may be a thousand and one things going on in your world but you should focus only on what makes you smile. Some people think life is so serious but you know it is nothing more than a big cosmic game – and games should be fun.|04-20-2014|pisces
138|Decide what it is that you want to do today, then get on and do it. Chances are you’ll get a few dirty looks, and maybe a few bad words as well, from those who disagree with your aims but there’s nothing they can do to stop you.|04-21-2014|pisces
139|It’s good that you like to work with other people but that does not mean they have the right to dictate to you what you should do and how you should do it. If you are part of a team there must be equality – make sure they know that.|04-22-2014|pisces
140|Sometimes it’s good to get away from your duties and chores and lose yourself in activities you really enjoy. Such a time is now. Mind planet Mercury will make it easy for you to have a good time – not least because you no longer feel guilty about it.|04-23-2014|pisces
141|Someone you meet socially will also attract you romantically but think carefully before you send out signals of love because the planets warn it may not be the right thing to do. Keep it on a friendly level, at least for the moment.|04-24-2014|pisces
142|You will feel good about yourself today, thanks to the influence of Venus, planet of harmony, in your sign. Try to avoid work that may be strenuous, physically or mentally, because it’s unlikely that your heart will be in it.|04-25-2014|pisces
143|You will be on the move this weekend, visiting new places and meeting new people. It’s not often you are this outgoing, so make the most of it and make sure you leave others smiling more when you say goodbye than when you say hello.|04-26-2014|pisces
144|You will be extremely busy at work over the next few days and just as busy socially too and come the end of the week you will no doubt be exhausted. Know when you have reached your limits and reward yourself with a well-earned rest.|04-27-2014|pisces
145|Anyone who thinks you lack the spirit of adventure will have to think again as cosmic activity in the most outgoing area of your chart inspires you to try so many new things. You may do too much but it’s better than doing too little.|04-28-2014|pisces
146|The message of the stars today is that you need to stop wasting time on so many irrelevant activities. Your social life, especially, is becoming a drain on your energy, so cut back on the partying and all those unnecessary commitments.|04-29-2014|pisces
147|Socially this will be a thoroughly enjoyable day but some of your friends may be angry that you are spending more time with new acquaintances than you are with them. They may have a point but you can’t help it if you’re so popular.|04-30-2014|pisces
148|You will discover something about a friend or loved one that surprises you today – which just goes to show you can never be sure you really know another person. Resist the urge to pry any deeper – leave them a few secrets to enjoy.|05-01-2014|pisces
149|You may be tempted to muddle through some kind of problem and hope it all comes right in the end, and maybe it will. But wouldn’t it be easier if you called on the help of an expert? Not even a Pisces can know or do it all.|05-02-2014|pisces
150|You are about to embark on a more light-hearted phase, so try not to worry so much about money and, if the opportunity arises, don’t hesitate to hit the town with your friends. In a nutshell: if you’re not laughing you’re not doing it right.|05-03-2014|pisces
151||05-04-2014|pisces
152|If you recently made a promise, to an employer or somebody else in a position of power, then you must keep it. If you try to back out of the deal it will do your reputation a great deal of harm. Do what you said you would.|05-05-2014|pisces
153|Keep your long-term goals at the forefront of your mind and don’t let anyone put you off your quest. So-called friends will come up with all sorts of reasons why you should think again but you must be true to your instincts.|05-06-2014|pisces
154|You may have to give up something that means a lot to you but you won’t mind too much – in fact you may be secretly happy to see it go. You will be happier still if people just leave you alone for a while. You like your own company.|05-07-2014|pisces
155|Steer clear of disputes that have nothing to do with you. The more others try to draw you into an argument the more you must keep your distance. That applies to all areas of your life but especially to friendships and money – they don’t mix.|05-08-2014|pisces
156|Current cosmic activity endows you with extraordinary self-confidence but the downside is you might start thinking you cannot fail. Apply common sense to everything you do today and don’t let others pressure you into making quick decisions.|05-09-2014|pisces
157|If you have something important to say you are advised to keep quiet about it until the early part of next week. The current Sun-Saturn link warns your words won’t be well received, either by loved ones or people in positions of power.|05-10-2014|pisces
158|Don’t feel guilty about something you did not cause. Yes, the situation maybe a bit of an emotional train wreck but it’s not your fault certain people could not control their impulses. Do what you can to help but don’t take the blame.|05-11-2014|pisces
159|You will be more inclined than usual to take risks. So long as they are calculated risks that’s fine – you will come to no harm and could even make some money – but if you act recklessly the fall could be spectacular. Your choice!|05-12-2014|pisces
160|Travel is on the cards for today and tomorrow but so are hold-ups and unexpected diversions. The good news is that wherever you end up you’ll have a lot of fun, so don’t stay home and play safe – get out into the world.|05-13-2014|pisces
161|Some things in life are important and some things in life are not. Do you know how to tell the difference? Today’s full moon will encourage people to get agitated about issues that are simply not worth the effort. Don’t be one of them.|05-14-2014|pisces
162|Money matters and business affairs will go better today if you turn on the charm and let would-be partners know you are happy to work closely with them. There’s more than enough profit to go around, so don’t be greedy.|05-15-2014|pisces
163|You must let partners and loved ones know what you will and will not put up with. One of the reasons there have been so may arguments of late is that some people have got the impression that you can be easily manipulated.|05-16-2014|pisces
164|Make use of the Sun’s last few days in the most open and outgoing area of your chart to get out into the world and have some fun. No matter how many chores still need to be done they can wait. If it doesn’t make you smile then give it a miss.|05-17-2014|pisces
165|Get back on good terms with someone you have drifted away from in recent months. Start by calling them up and inviting them out for a coffee. Soon you’ll be chatting away like long-lost friends – which, of course, is what you are.|05-18-2014|pisces
166|You are sure to go over the top one way or another over the next 24 hours. Hopefully you will avoid the temptation to spend large sums of money on things you don’t really need. Even things you do need you may pay too much for.|05-19-2014|pisces
167|You may have every right to get angry with someone who has let you down but you will make a better impression if you forgive and forget and act as if nothing important has occurred. In the greater scheme of things, it’s no big deal.|05-20-2014|pisces
168|You may not be in the mood to put yourself out for other people right now but someone is desperately in need of your assistance and you’ll hate yourself in the long-term if you purposely ignore them. It’s your destiny to do good in the world.|05-21-2014|pisces
169|The solution to a problem that has been causing you sleepless nights will pop into your head today and you will kick yourself mentally for not having seen it sooner. Never mind, now you know what to do – so do it.|05-22-2014|pisces
