|horoscope|pub_date|zodiac
43|You have accomplished so much in recent months that you may be afraid to take any more risks in case you lose what you have gained. Don’t worry, you won’t. The cosmic omens are all in your favor, so set your sights even higher this year.|01-13-2014|capricorn
44|It’s good that you know your own mind but you also need to make sure those you live and work with know it as well. Spell out what it is you expect of them now and you will get it before the Sun leaves your sign on the 20th.|01-14-2014|capricorn
45|Keep things simple and don’t let your emotions get the better of you over the next couple of days. Others can rush about like it’s the end of the world if they want but you will remain cool and calm and with full self-control.|01-15-2014|capricorn
46|You will get the chance to put various relationships on a firmer footing over the coming year and you must take full advantage of it. Whatever your current differences may be they can and must be resolved. It’s better to work together than to worry alone.|01-16-2014|capricorn
47|Your instincts rarely let you down but the planets warn you could easily be fooled by someone who knows how to play on your insecurities. Don’t fall for their lies and do something silly – if you do you will have only yourself to blame.|01-17-2014|capricorn
48|You have been far too secretive in recent months and need to be more open about who you are and what you expect from life in the year ahead. Family and friends are there for you, so let them know what you need and don’t be surprised when you get it.|01-18-2014|capricorn
49|Stay on good terms with employers and other people in prominent positions, because what you achieve – and how much you earn – over the next 12 months is not entirely in your own hands. In never hurts to have too many friends, especially powerful ones.|01-19-2014|capricorn
50|The Sun is moving into the area of your chart that governs material things such as money and possessions – which means it is time to consolidate the gains you have made since the start of the year. Fortunately, you are not the sort to give anything away.|01-20-2014|capricorn
51|If you need financial assistance now is the time to ask for it. The planets make it easy to convince those who can help that your cause is deserving. Having said which, their assistance will not come cheap, so help yourself as much as you can.|01-21-2014|capricorn
52|You are trying hard to deny your feelings for someone because you fear it might damage your reputation and maybe even harm you financially. Who knows, maybe it will, but is that really a good enough excuse to turn your back on affection?|01-22-2014|capricorn
53|Don’t worry if you have not yet begun work on a scheme that means a lot to you. In fact the longer you leave it the more likely it is to be a success. Good ideas need time to develop. You’ll know when the time is right to act.|01-23-2014|capricorn
54|You may be desperate to be doing something more exciting with your life but don’t get so desperate that you act without thinking. If you do, and make a mistake, it will most likely hit you where it hurts most – in your wallet!|01-24-2014|capricorn
55|Something you thought you understood perfectly now baffles you but there is no reason to be disheartened because the knowledge you appear to have lost will come back to you in a flash of inspiration this weekend. Keep thinking.|01-25-2014|capricorn
56|Uranus, planet of genius, will help you find clever solutions to difficult problems, but you must be adaptable. If you are one of those stubborn Capricorns who expects others to change while you stay the same your problems will stay as they are.|01-26-2014|capricorn
57|Try to be less suspicious when dealing with people on a professional level. That kind of attitude is self-fulfilling. If you think everyone is a shark then that is the kind of person you are going to attract. Come to think of it, how do others see you?|01-27-2014|capricorn
58|It may seem as if you are at the mercy of events and all you can do is go with the flow but is that the right sort of attitude? You’re a Capricorn. You’re supposed to make things happen. Show you have not lost your leadership potential.|01-28-2014|capricorn
59|Help partners and loved ones feel as good about themselves as you feel about yourself. That may be no easy task, but it can be done, and it must be done because happiness at home is essential to so many other things.|01-29-2014|capricorn
60|Chances are Lady Luck will smile on you today – good things will come your way without you having to do very much to attract them. Having said which, don’t give away any personal information and don’t try too hard. Just let it happen.|01-30-2014|capricorn
61|You will find it easy enough to get your way over the next 24 hours, especially if you tell others what they want to hear and leave any bad news you might have to another day. Is that dishonest? Maybe, but it’s not the worst thing you’ll ever do.|01-31-2014|capricorn
62|Too often in the past you have allowed other people to call the shots but now you must do what you want to do, regardless of what the consequences might be. Most likely their will be no comeback at all. Your rivals’ threats are hollow.|02-01-2014|capricorn
63|The most important thing this week is that you know your own mind and don’t let others tell you what you ought to believe. No matter how loud the so-called “experts” may be you must trust what your inner voice tells you – always.|02-03-2014|capricorn
64|Someone whose point of view is very different to your own will say something that you cannot let pass and most likely you will end up having a major argument. But that’s okay. It’s wrong to remain silent. Call it as you see it.|02-04-2014|capricorn
65|You will learn something to your advantage today, but you must keep the information to yourself. The urge to tell others may be strong but if you do they may try to benefit as well — and there is only so much cash to go around! |02-05-2014|capricorn
66|Be careful when dealing with people whose outlook on life is very different to your own. If you adopt the attitude that you are always right and they are always wrong then conflict is inevitable. Maybe you’re both right – or both wrong!|02-06-2014|capricorn
67|If you want something enough you will find a way to get it but it may cost you a great deal of time and energy. What you have to decide is whether the sacrifice is worth it. Think long-term and give up something today for something better tomorrow.|02-07-2014|capricorn
68|You may have something urgent to say, but now that Mercury (planet of communication) is moving retrograde, you will find it difficult to find the right words. Don’t worry: As important as your message is, it won’t hurt to wait.|02-08-2014|capricorn
69|You will find it easier to be assertive on the work front over the next seven days but don’t go too far and give others the impression that you are turning into a dictator. In the long-term persuasion always works better than coercion.|02-10-2014|capricorn
70|You may be tempted to do a task the hard way today, simply because you want to impress people in positions of power, but it isn’t necessary. What matters is that you can get the job done, not how you choose to do it. |02-11-2014|capricorn
71|Something you see or hear on your travels could be just what you’ve been waiting for. Even if it isn’t it will still be a lot of fun and fun is something that has been lacking of late. Don’t doubt yourself in any way. Just be who you are.|02-12-2014|capricorn
72|You may want to be open and sociable but with communications planet Mercury now turning retrograde you would be wise not to give too much away. Anyone who starts asking personal questions is most likely not to be trusted.|02-13-2014|capricorn
73|It seems you would rather go on making mistake after mistake rather than admit you are on the wrong track. Your fixity of purpose is often a great strength but not when you so obviously need to change direction. It’s time to get real.|02-14-2014|capricorn
74|It may seem as if you have been left out of the loop, that everyone is more clued up than you, but it isn’t true, and even if it was it wouldn’t make any difference. You don’t need to be “in the know”, you just need to be you.|02-15-2014|capricorn
75|The Sun leaves the financial area of your chart tomorrow but you still need to take care of your money and possessions. If you let down your guard, even for a moment, someone will try to part you from your hard-earned cash.|02-17-2014|capricorn
76|Get out and about. Visit places that excite you and visit people who inspire you. Social activities of all kinds are under excellent stars, as is travel, so hit the road and don’t look back. Keep moving and the fun will keep on coming.|02-18-2014|capricorn
77|If you make a promise today, you will have to keep that promise come what may, so think carefully before making any kind of commitment. With Mercury, planet of communication, under lots of pressure maybe you should keep your mouth shut. |02-19-2014|capricorn
78|Let people know what is on your mind today. Let them know what you are thinking and why it is important. If you keep your thoughts to yourself you will not only feel isolated but you will miss out on a chance to influence the great debate.|02-20-2014|capricorn
79|Don’t waste your time or your energy on someone who seems determined to get under your skin. You can be a bit obsessive at times and if you let this little feud go on it could develop into something quite dangerous. Just walk away.|02-21-2014|capricorn
80|Your confidence may be at a low right now but you will perk up considerably when you see what the weekend has to offer. Don’t turn down a social invitation because you are not in the mood. It could be more fun than you can handle!|02-22-2014|capricorn
81|The planets are urging you to go out and have a good time. Do you need to be told twice? This is an excellent time for meeting people and swapping ideas about, well, just about everything. The more you chat the more your awareness will grow.|02-23-2014|capricorn
82|Even if you are the kind of Capricorn who too often lets your inhibitions get in the way of having fun you will enjoy yourself immensely over the next few days. Why not look up a friend you have not seen or talked to in a while?|02-24-2014|capricorn
83|You will get a lot out of social activities today, so make the effort to get out into the world. The more you allow yourself to engage with people, both friends and strangers, the more you will realize just how similar we all are.|02-25-2014|capricorn
84|You don’t mind taking chances but with Jupiter in your opposite sign at odds with Uranus, planet of the unexpected today, it might be better to play safe. There is no such thing as a sure thing and you are smart enough to know that.|02-26-2014|capricorn
85|For the past two or three weeks you have found it hard to get your thoughts together, which means progress has been slow, but now your mind will click into gear and you will soon be sailing along. Don’t plan ahead, just act.|02-27-2014|capricorn
86|Don’t reject what you hear just because it sounds outrageous. What seems amazing to you may be an everyday occurrence to other people, so let your mind be open to all possibilities. It doesn’t, of course, mean you have to agree with them.|02-28-2014|capricorn
87|Don’t hide your thoughts or disguise your feelings: let others know what is on your mind and in your heart. The planets urge you to speak up and make yourself heard. Will others like what you have to tell them? Of course they will!|03-01-2014|capricorn
88|You will get the chance to mend a fractured relationship when Jupiter moves in your favor again in midweek. No matter what may have gone on between you and no matter how many bad words may have been said you CAN still make it work.|03-02-2014|capricorn
89|Try not to let your suspicious nature get the better of you over the next few days because there is precious little you have to worry about. Pluto in your sign means others should be more afraid of you than you of them.|03-03-2014|capricorn
90|There is every chance that you will lose your temper with a work colleague over the next 24 hours. But don’t get so angry that you risk bursting a blood vessel. Why put your health at risk over someone else’s stupidity?|03-04-2014|capricorn
91|This should be a highly productive day but there is a danger that in your haste to show what you can do you will take on too many tasks and spread yourself too thin. Focus on the one thing you are really good at – and do it brilliantly.|03-05-2014|capricorn
92|You’ve got this nagging feeling that you could have done more to make a success of a relationship. Maybe you’re right, maybe you could, but that was then and this is now, so stop looking back and look to the future instead.|03-06-2014|capricorn
93|No matter how well you have planned things there are sure to be hold-ups and disruptions today and over the weekend, so promise yourself that you won’t get angry with people who move and think slowly. Stay calm. You’ll get there.|03-07-2014|capricorn
94|You need to get used to the idea that not everyone sees things the same way as you. Maybe it would help if, over the weekend, you make a point of talking with people whose opinions you don’t understand. Get to know them better.|03-08-2014|capricorn
95|You may not understand why certain things had to happen but your sixth sense tells you that was how it was meant to be. With that thought in mind, let others argue about the state of the world. All you have to do is find ways to enjoy it.|03-09-2014|capricorn
96|Stay calm and don’t allow yourself to get carried away with your own success. The current cosmic picture makes most things possible for you but that does not mean you should try to do everything, at least not all at the same time.|03-10-2014|capricorn
97|Many of the restrictions you have been laboring under in recent weeks will seem to get worse over the next few days. A crisis point will be reached around the time of the full moon on the 16th – after which they will all fade quickly away.|03-11-2014|capricorn
98|Keep your options open over the next 24 hours, especially in your dealings with work colleagues and business partners. Because their plans are likely to change suddenly you may have to change too, but if you’re flexible you will still be in the money.|03-12-2014|capricorn
99|You may not understand how and why certain events had to happen but you can see there is no point being negative about it. While others are complaining today you will be making the most of the changes taking place around you.|03-13-2014|capricorn
100|If someone tries to pressure you into doing something you don’t really approve of today then you must turn them down flat. Yes, you may owe them for favors they have done you in the past but conscience comes first, even before friendship.|03-14-2014|capricorn
101|Do you continue with a project that is taking up so much time and energy, or do you end it and move on to something else? Don’t make any final decisions this weekend. You may be too close to the situation to make a rational choice.|03-15-2014|capricorn
102|Don’t take what you hear over the next few days too seriously because a lot of it will be no more than gossip. It could also be the case that someone who has an axe to grind may be trying to turn you against a friend.|03-16-2014|capricorn
103|A social event will be a lot of fun and could lead to a new career opportunity. Knowledge and experience are always important but if it comes down to a tie-break between you and a rival it’s who you know that will count.|03-17-2014|capricorn
104|At some point today you will discover that your money situation is not as bad as you thought it was and that will cheer you up immensely. But it is not an excuse to go on a spree – that’s how you got so worried in the first place.|03-18-2014|capricorn
105|The Sun’s change of signs tomorrow means you can at last get to grips with a family issue that has been causing you plenty of grief. Let loved ones know what you think and how you feel and invite them to be honest with you as well.|03-19-2014|capricorn
106|You don’t need to explain why you are doing certain things, not even to the people you love. Others will respect you more if you are confident about following your dreams and desires. Don’t complain. Don’t explain. Don’t apologize. Just act.|03-20-2014|capricorn
107|Say what you believe to be true and don’t worry too much about the effect it may have on other people. Facts are facts and must not be denied, not even to spare the feelings of those who are not as smart or as stable as you.|03-21-2014|capricorn
108|You may think you don’t need to change, that everything in your life is fine as it is, but is that really true? What happens this weekend will show you that change does not have to be something you need to avoid. It can even be fun.|03-22-2014|capricorn
109|The more others tell you that something cannot be done the more determined you will be to do it. But you must stay within the bounds of what is ethical and legal. If you cut corners your enemies will seize on it to damage your reputation.|03-23-2014|capricorn
110|Creatively and romantically the sky is the limit this week and with travel plans so well starred at the moment you really should be on the move. Don’t let family duties hold you back. You are entitled to some time for yourself.|03-24-2014|capricorn
111|Mars, planet of action and ambition, is moving through the career area of your chart, so chances are you will be even more go-getting than usual. You may face opposition to your plans but you have never been one to avoid a fight.|03-25-2014|capricorn
112|It’s not like you to be so easygoing about people you don’t much like and opinions you think are stupid but you seem to have reached a point where, frankly, you no longer care. Getting uptight about things is not worth the hassle.|03-26-2014|capricorn
113|No matter how busy you may be work wise at the moment you must make an effort to free up some time to spend with your friends and your family. They are the people who really matter. For the moment at least your career comes second.|03-27-2014|capricorn
114|Pluto in your sign endows you with the courage that is needed to get things done and today and over the weekend you will push yourself harder than you have done for a long time. But it’s not just about physical effort – think harder, and deeper, too.|03-28-2014|capricorn
115|No matter how many upsets and upheavals there have been on the home front of late you can and you will resolve them all. This weekend’s new moon will not only enable you to call a truce but will also help you build bridges that last.|03-29-2014|capricorn
116|Be honest about how you feel over the next few days, because if you give others the impression that everything is fine they will most likely continue to do the kind of things that upset you. Its okay to be sensitive, and it’s okay to admit it.|03-30-2014|capricorn
117|Find a nice quiet place where you can switch off from the world around you and get your thoughts together. And remember: if you want to find peace in your life as a whole you first need to find it in your own heart and head.|03-31-2014|capricorn
118|Something you have been working on for quite some time needs to be left alone for a while. According to the planets you have got so involved with it that other areas of your life are being neglected. Time to balance things out again.|04-01-2014|capricorn
119|Avoid all forms of negative thinking. If you let even one little doubt enter your mind it will grow alarmingly quickly and before you know it you will think the world is coming to an end. The fact is you have precisely nothing to worry about.|04-02-2014|capricorn
120|If you believe in yourself and work diligently towards a well defined goal there is no reason why your name should not be up in lights – and your bank balance blessed by a large input of cash. It’s really up to you now.|04-03-2014|capricorn
121|Why is it that some people seem to enjoy making life so complicated? Whatever the reason you don’t have to follow their example, so keep things simple today and don’t go searching for complicated answers to what are such straightforward questions.|04-04-2014|capricorn
122|You want to get out and about and explore but chores and duties are holding you back. So ignore them. Will the world come to a premature end if you don’t get certain tasks finished in a particular time frame? Of course not.|04-05-2014|capricorn
123|Others may be buzzing here, there and everywhere changing anything and everything but you are advised to keep your life just the way it is. Change for change’s sake is rarely a good idea and as a Capricorn you know the value of tradition.|04-06-2014|capricorn
124|Turn on the charm and make sure you get your way. Remember too that the best way to get other people to agree with you is to appeal to them on an emotional level. Facts and figures are important, of course, but it’s feelings that tip the balance.|04-07-2014|capricorn
125|Some interesting opportunities are opening up to you but you need to be aware of the fact that they will bring an increase in responsibilities too. You only have so much time and energy to spare, so choose what you use them for carefully.|04-08-2014|capricorn
126|Steer clear of negative thoughts and feelings because once they have got their hooks in you it will take a lot of work to break free again. Everything will work out for the best in the end – somehow it always does – so why be afraid?|04-09-2014|capricorn
127|You can be a bit sarcastic at times and the planets warn that your caustic way with words could have long-term consequences that damage not only others but you as well. Ask yourself this: will your words hurt or will they heal?|04-10-2014|capricorn
128|Something unexpected will happen today and because you like everything to be in its right place and happening at the right time chances are you will be thrown out of your stride. Good. It’s not healthy to get too set in your ways.|04-11-2014|capricorn
129|Any moves you make this weekend must be the result of serious thought and careful consideration. Weigh up all the pros and cons and only take action when you are sure you will be on the winning side. Failing that, take no action at all.|04-12-2014|capricorn
130|Anyone who thinks you can easily be fooled will quickly learn the error of their ways. Monday’s Mercury-Jupiter link warns there are people out there who will try to cheat you, most likely financially, but you are far too smart for them.|04-13-2014|capricorn
131|Pluto, planet of power, turns retrograde in your sign today, which among other things suggests that your grip on certain situations may not be as strong as you thought. In one particular area it may even pay you to let go completely.|04-14-2014|capricorn
132|This is the sort of day when it is probably best to keep your plans to yourself. You don’t have to be dishonest about what you are up to but it will pay you to be evasive. Others have no right to know about your aims and ambitions.|04-15-2014|capricorn
133|You may have to own up to a transgression of some sort today but the moment you do you will feel a lot better for it. You have been carrying a lot of burdens lately, not least the burden of a guilty conscience. Get past it.|04-16-2014|capricorn
134|It would appear that someone you work with has made a mistake and would like nothing better than to blame you for it. Don’t let that happen! They’re not the only ones who can point fingers. Let them know you can play that game too.|04-17-2014|capricorn
135|You don’t seem much in the mood for serious things at the moment, so get any chores that are expected of you out of the way quickly, then devote yourself to the kind of social activities that bring a smile to your face.|04-18-2014|capricorn
136|The Sun’s move into the most dynamic area of your chart this weekend is sure to bring a smile to your face. More importantly, it will help you believe that the kind of success you have long dreamed about is now within your grasp. And it is.|04-19-2014|capricorn
137|Life seems more exciting all of a sudden and that’s great. It will be greater still if you find out what is worrying a loved one and do what it takes to put their mind at ease. Then you can have even more fun going places together.|04-20-2014|capricorn
138|If you have learnt anything in recent months it must surely be that getting uptight and throwing tantrums rarely, if ever, changes anything for the better. The best way to resolve differences is to turn on the charm – you’ve got plenty of it.|04-21-2014|capricorn
139|You may be entitled to get angry with someone who has let you down but is it worth the effort? Chances are it would be more sensible to forgive and forget, not least because they will then be in your debt, and that could be useful.|04-22-2014|capricorn
140|Yours may not be the most flexible sign of the zodiac but it will pay you to make an effort to adapt today. You have a great deal going for you at the moment but to make the most of it you need to be less set in your ways.|04-23-2014|capricorn
141|You don’t have to come on strong to make your point – on the contrary, others will be more receptive to what you say if you say it calmly and clearly and with no hint of a threat. They want to believe you, so don’t make it difficult for them.|04-24-2014|capricorn
142|You want to go out and have a good time but you also want to express your feelings openly and honestly. Yes, you can do both. This is the perfect day to use those three magic words “I love you”. Say them as if you mean them.|04-25-2014|capricorn
143|You won’t hesitate to put your own interests first this weekend and there is no good reason why you should not. In fact, the next two or three weeks promise to be special, so know what you want and where to get it, then make it your own.|04-26-2014|capricorn
144|This week’s eclipse in the sympathetic sign of Taurus will inspire you to aim higher than ever before. There are no limits to what you can accomplish and there is no doubt you will be praised to the skies. Will that inflate your ego? Of course!|04-27-2014|capricorn
145|You are full of energy thanks to the approaching eclipse and it’s important that you channel it in constructive directions. Don’t waste your time on projects that are not challenging enough or people who don’t share your vision. Always aim high.|04-28-2014|capricorn
146|You can expect some kind of breakthrough over the next 24 hours, the kind you will remember for years to come. Whatever it is you dream of achieving you know it can be done and you know that this is the time to make it happen.|04-29-2014|capricorn
147|Anything of a creative nature will go well for you but it will go even better if you make an effort to bring other people into your plans. Friends and loved loves want to help you but they don’t want to be seen as invading your space.|04-30-2014|capricorn
148|For some strange reason you seem reluctant to take advantage of an opportunity most people would give their right arm for. Yes, of course, it could go wrong but it could also go stunningly right – and unless you try you will never know.|05-01-2014|capricorn
149|Take difficulties in your stride and find ways to get something constructive from them. The Sun in Taurus at this time of year has a hugely positive effect on your outlook on life. Many of life’s setbacks can easily be turned into blessings.|05-02-2014|capricorn
150|Anyone who thinks you have been taking things too easy of late will no doubt be surprised how busy you are over the next few days. Pluto in your sign makes you incredibly ambitious and it’s never too early to start winning.|05-03-2014|capricorn
151|No, you don’t have to do everything now, immediately, right this very moment. Others may be pushing you to get things done but you must not let them rush you. A job worth doing well is a job worth taking time over.|05-04-2014|capricorn
152|It won’t be long before you get the chance to do something out of the ordinary but for the time being you are advised to be patient. If you make your move too soon the results may not be as good as they could have been.|05-05-2014|capricorn
153|You may be eager for success but don’t forget the many responsibilities that go with it. Remember, once you have committed to do something, once you have signed on the line, you won’t be able to back out of the deal.|05-06-2014|capricorn
154|You have chopped and changed so often in recent weeks that you may no longer be sure which way is up, but that’s okay. On the work front at least you will know without a shadow of a doubt what needs to be done next. So do it.|05-07-2014|capricorn
155|Most things seem to be going well for you at the moment, and that’s good, but the planets warn you must not get too content with your lot and drift along without trying. When things are going good you should be aiming for great!|05-08-2014|capricorn
156|Do what you can to bring people together today but if it proves too tough a task just back off and let them fight it out. Do not, under any circumstances, get involved on a personal level yourself. If you choose sides you’ll be the loser.|05-09-2014|capricorn
157|If you are not already moving up in the world you soon will be. Your rise will be quicker, however, if you are honest with yourself about your weaknesses as well as your strengths. You can bet your rivals are aware of them already.|05-10-2014|capricorn
158|You will receive an offer that sounds pretty good over the next few days but you are advised to find out exactly what will be expected of you before you accept. Make sure you read the small print you don’t want any nasty surprises later on.|05-11-2014|capricorn
159|You seem amazingly open at the moment, not in the least bit reserved, which is great – but watch out you don’t let slip information that it might be sensible to keep to yourself. You don’t have to tell everyone about everything.|05-12-2014|capricorn
160|This is one of the best times of the year for you and you really should be making the most of it. It might not be true to say that anything is possible but most things are, so set your sights high and make greatness your goal.|05-13-2014|capricorn
161|You will be rather forthright in your views today and not everyone will like it. Too bad. Most of the time you keep your opinions to yourself but every now and again you go right the other way and shout them from the rooftops.|05-14-2014|capricorn
162|All sorts of opportunities are opening up for you now but they will be a lot more fun if you invite family and friends to join you on your journey. Make sure what you do for yourself you do also for the people care for.|05-15-2014|capricorn
163|You’ve enjoyed an easy ride in recent weeks and you know that at some stage you will have to pay for it. That stage will most likely arrive when the Sun changes signs on the 21st, so make the most of your freedom.|05-16-2014|capricorn
164|Both at home and at work you must stick up for yourself this weekend. Let everyone know that while you might be a nice guy by nature that does not mean you will allow the world to walk all over you. Tread on a few toes yourself.|05-17-2014|capricorn
165|Pay close attention to details over the next few days, because the smallest of things could trip you up. Also, something that has been a habit longer than you care to remember needs to be junked. It’s holding you back, not holding you up.|05-18-2014|capricorn
166|It may seem as if those around you don’t care about your problems but the fact is few if any of them know how much you have been suffering. If you speak up today you will get the help you need. If you stay quiet, you won’t.|05-19-2014|capricorn
167|There is no point arguing with people in positions of power, especially now that Mars, planet of ambition, is resuming its normal direction. You may not agree with what they are doing but you’d be wise not to shout about it. You’ll get your chance later.|05-20-2014|capricorn
168|As the Sun moves into the work and wellbeing area of your chart today you would be wise to slow things down a bit, even if it means cutting back on your goals. Getting things done quickly is not as important as getting them done right.|05-21-2014|capricorn
169|Don’t be afraid to break the rules today. You may be a straight up sort of person but sometimes even a Capricorn has to take a shortcut to get where they most want to be. So long as it does not hurt other people it’s not immoral.|05-22-2014|capricorn
